Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
9601;FUNDO DE APERFEICOAMENTO DOS SERVICOS JURIDICOS;12062000;9812248,26;0;9812248,26;81,35
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;219940639;170537483,5;995,83;170536487,6;77,54
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;0;0;0;0;0
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;2349846;2613631,36;0;2613631,36;111,23
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;28342617;33908212,32;147417,58;33760794,74;119,64
4101;CASA CIVIL;0;1335352,76;1133449,29;201903,47;0
4501;MT PARTICIPACOES E PROJETOS S.A. MT PAR;0;1501000;0;1501000;0
21601;FUNDO ESTADUAL DE SAUDE;3853937;43346259,24;0;43346259,24;1124,73
25101;SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTACAO URBANA;279216347;132429937,9;0;132429937,9;47,43
26101;SECRETARIA DE ESTADO DE CIENCIA E TECNOLOGIA;78876801;13415647,09;0;13415647,09;17,01
7101;GABINETE DO VICE GOVERNADOR;13600;8086,61;0;8086,61;59,46
12502;CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO;0;750000;0;750000;0
99000;TESOURO DO ESTADO DE MATO GROSSO;12818574890;16127754064;5486476821;10641277242;125,82
3601;FUNDO DE APOIO AO JUDICIARIO;133004690;190850192,8;0;190850192,8;143,49
7401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;40829462;35751618,68;2641782,37;33109836,31;87,56
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;26930644;17605530,02;0;17605530,02;65,37
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;995400;7324193,5;0;7324193,5;735,8
14101;SECRETARIA DE ESTADO DE EDUCACAO;199101648;91593402,25;0;91593402,25;46
18201;FUNDACAO NOVA CHANCE;937080;328204,29;0;328204,29;35,02
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;7993749;5658672,58;0;5658672,58;70,79
15101;SECRETARIA DE ESTADO DE ESPORTE E LAZER;0;1064677,9;1061029,38;3648,52;0
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERV DO PODER LEGISLATIVO;11717670;14378787,72;0;14378787,72;122,71
8101;PROCURADORIA GERAL DA JUSTICA;20094204;31753934,86;0;31753934,86;158,03
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;79359116;51355506,84;0;51355506,84;64,71
4103;SECRETARIA EXTRAORDINARIA DA COPA DO MUNDO FIFA 2014;130597172;146012114,3;0;146012114,3;111,8
22606;FUNDO PARTILHADO DE INVESTIMENTOS SOCIAIS;0;0;0;0;0
13101;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;0;2403,35;0;2403,35;0
5101;CASA MILITAR;0;2567,02;0;2567,02;0
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;7262183;4183078,18;0;4183078,18;57,6
12101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO RURAL E AGRICULTURA FAMILIAR;976876;3597699,48;794173,47;2803526,01;368,29
26201;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;8221301;27536255,39;0;27536255,39;334,94
28101;SECRETARIA DE ESTADO DAS CIDADES;41331518;70815248,32;0;70815248,32;171,33
24101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO;2314918;1652014,78;0;1652014,78;71,36
25301;DEPARTAMENTO ESTADUAL DE TRANSITO;159281167;114206334,9;33498,22;114172836,7;71,7
7301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DE MT;4724301;4533315,19;0;4533315,19;95,96
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;2186485;3188048,9;0;3188048,9;145,81
20101;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL;0;10548,8;0;10548,8;0
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;80694824;272734871,9;0;272734871,9;337,98
11101;SECRETARIA DE ESTADO DE ADMINISTRACAO;36622122;73270772,62;0;73270772,62;200,07
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENSAO RURAL;7309781;1176238,77;0;1176238,77;16,09
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;0;444240,79;0;444240,79;0
17502;COMPANHIA MATOGROSSENSE DE GAS;2504694;7784085,61;0;7784085,61;310,78
30102;RECURSOS SOB A SUPERVISAO DA SEFAZ;0;73564312,5;0;73564312,5;0
15601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;2077277;5776673,03;624899,24;5151773,79;278,09
16101;SECRETARIA DE ESTADO DE FAZENDA;139218231;179305964,6;0;179305964,6;128,79
17101;SECRETARIA DE ESTADO DA INDUSTRIA, COMERCIO, MINAS E ENERGIA;0;30814,9;0;30814,9;0
17501;COMPANHIA MATOGROSSENSE DE MINERACAO;401674;185908,85;0;185908,85;46,28
22605;FUNDO ESTADUAL DE AMPARO AO TRABALHADOR;486903;112452,34;0;112452,34;23,1
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;648872;52277,54;0;52277,54;8,06
9101;PROCURADORIA GERAL DO ESTADO;0;979215,13;0;979215,13;0
6101;AUDITORIA GERAL DO ESTADO;0;2219,79;0;2219,79;0
23101;SECRETARIA DE ESTADO DE CULTURA;3400000;3628772,09;1590766,44;2038005,65;106,73
12302;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;32832473;24715716,16;0;24715716,16;75,28
11602;FUNDO DE PREVIDENCIA DO ESTADO DE MATO GROSSO;1153146821;1408330060;0;1408330060;122,13
30101;RECURSOS SOB A SUPERVISAO DA SAD;0;40239351,05;0;40239351,05;0
26202;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;19214039;4702280,59;0;4702280,59;24,47
22101;SECRETARIA DE ESTADO DE TRABALHO E ASSISTENCIA SOCIAL;6849424;6706241,98;0;6706241,98;97,91
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;347576;193031,67;0;193031,67;55,54
17302;INSTITUTO DE PESOS E MEDIDAS DE MATO GROSSO;19302436;24052065,45;0;24052065,45;124,61
18601;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;1274657;2222337,04;0;2222337,04;174,35
12301;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;4877881;17033980,7;0;17033980,7;349,21
11601;FUNDO DE DESENVOLVIMENTO DO SISTEMA DE PESSOAL DO ESTADO DE MATO GROSSO;16816797;17460654,58;0;17460654,58;103,83
