Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;244646994;226731648,9;149,81;226731499,1;92,68
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;2867330;1442167,95;0;1442167,95;50,3
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;65132110;41791788,69;128302,09;41663486,6;64,16
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;5891614;5568332,29;0;5568332,29;94,51
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;3250000;788380,46;0;788380,46;24,26
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;0;0;0;0;0
21101;SECRETARIA DE ESTADO DE SAUDE;0;0;0;0;0
4501;MT PARTICIPACOES E PROJETOS S.A. MT PAR;0;0;0;0;0
21601;FUNDO ESTADUAL DE SAUDE;5938105;72606322,81;0;72606322,81;1222,72
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;288712175;52402257,13;0;52402257,13;18,15
20401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;36338856;10136416,29;0;10136416,29;27,89
6101;CONTROLADORIA GERAL DO ESTADO;0;0;0;0;0
99000;TESOURO DO ESTADO DE MATO GROSSO;14928211588;17841553784;6798199499;11043354285;119,52
3601;FUNDO DE APOIO AO JUDICIARIO;188958637;244287148,6;0;244287148,6;129,28
23601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;2814353;3939927,69;0;3939927,69;139,99
12101;SECRETARIA DE ESTADO DE AGRICULTURA FAMILIAR E ASSUNTOS FUNDIARIOS;3489585;9964144,12;0;9964144,12;285,54
14101;SECRETARIA DE ESTADO DE EDUCACAO;92189093;234610065;0;234610065;254,49
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;1730400;1476452,89;0;1476452,89;85,32
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;193910992;250918834;23357306,63;227561527,4;129,4
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;38809084;28869409,71;0;28869409,71;74,39
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;9419432;10269401,95;0;10269401,95;109,02
18201;FUNDACAO NOVA CHANCE;63255;380213,66;0;380213,66;601,08
7401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;0;0;0;0;0
4303;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO RIO CUIABA-AGEM/VRC;0;2018,07;0;2018,07;0
8101;PROCURADORIA GERAL DA JUSTICA;35839131;42525093,88;0;42525093,88;118,66
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERV DO PODER LEGISLATIVO;16057046;19967647,23;0;19967647,23;124,35
23101;SECRETARIA DE ESTADO DE CULTURA, ESPORTE E LAZER;1448713;1283252,55;0;1283252,55;88,58
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;40285803;55250946,39;0;55250946,39;137,15
15101;SECRETARIA DE ESTADO DE ESPORTE E LAZER;0;0;0;0;0
5101;CASA MILITAR;0;4673,18;0;4673,18;0
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;2597535;15468948,38;0;15468948,38;595,52
26201;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;3758172;7243854,45;0;7243854,45;192,75
28101;SECRETARIA DE ESTADO DAS CIDADES;11891325;7915963,5;0;7915963,5;66,57
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;2646291;5332187,77;0;5332187,77;201,5
17501;COMPANHIA MATO-GROSSENSE DE MINERACAO;217168;46451,99;0;46451,99;21,39
25301;DEPARTAMENTO ESTADUAL DE TRANSITO;0;0;0;0;0
17502;COMPANHIA MATO-GROSSENSE DE GAS;5146130;13758813,57;0;13758813,57;267,36
7301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DE MT;0;0;0;0;0
24101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO;0;0;0;0;0
20101;SECRETARIA DE ESTADO DE PLANEJAMENTO;0;1973,03;0;1973,03;0
30101;RECURSOS SOB A SUPERVISAO DA SEGES;0;65988933,67;0;65988933,67;0
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;93630714;154039014;0;154039014;164,52
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENSAO RURAL;10322424;4447879,24;0;4447879,24;43,09
30102;RECURSOS SOB A SUPERVISAO DA SEFAZ;0;0;0;0;0
9101;PROCURADORIA GERAL DO ESTADO;6287417;56437649,78;0;56437649,78;897,63
15601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;0;0;0;0;0
16101;SECRETARIA DE ESTADO DE FAZENDA;166254608;151419346;0;151419346;91,08
26101;SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E INOVACAO;15094529;8891504,22;0;8891504,22;58,91
22605;FUNDO ESTADUAL DE AMPARO AO TRABALHADOR;118826;2700;0;2700;2,27
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;91536;23280;0;23280;25,43
11101;SECRETARIA DE ESTADO DE GESTAO;0;7987627,74;0;7987627,74;0
20501;MT PARTICIPACOES E PROJETOS S.A.;0;97,5;0;97,5;0
13101;GABINETE DE COMUNICACAO;0;5690;0;5690;0
11602;FUNDO DE PREVIDENCIA DO ESTADO DE MATO GROSSO;1772220408;1913228688;0;1913228688;107,96
17303;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;48113690;56892632,94;0;56892632,94;118,25
18601;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;4109429;3897136,83;0;3897136,83;94,83
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;141587;1676662,88;0;1676662,88;1184,19
17302;INSTITUTO DE PESOS E MEDIDAS DE MATO GROSSO;35000000;21157728,96;0;21157728,96;60,45
11601;FUNDO DE DESENVOLVIMENTO DO SISTEMA DE PESSOAL DO ESTADO DE MATO GROSSO;23659340;19184875,65;0;19184875,65;81,09
22101;SECRETARIA DE ESTADO DE TRABALHO E ASSISTENCIA SOCIAL;3151361;1094587,07;0;1094587,07;34,73
12302;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;0;0;0;0;0
12301;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;0;0;0;0;0
7101;GABINETE DA VICE GOVERNADORIA;0;1062220,05;0;1062220,05;0
26202;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;3530888;3358088,08;0;3358088,08;95,11
4304;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;5742699;9495504,08;0;9495504,08;165,35
