Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
9601;FUNDO DE APERFEICOAMENTO DOS SERVICOS JURIDICOS;0;6057,9;0;6057,9;0
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;203766676;229534985,1;575,48;229534409,7;112,65
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;2263744;2054593,92;0;2054593,92;90,76
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;36435529;58649812,58;45709,19;58604103,39;160,97
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;0;968357,2;0;968357,2;0
4101;CASA CIVIL;0;2829,42;0;2829,42;0
21601;FUNDO ESTADUAL DE SAUDE;2298937;43457875,31;0;43457875,31;1890,35
25101;SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTACAO URBANA;72825243;415508285,1;0;415508285,1;570,56
26101;SECRETARIA DE ESTADO DE CIENCIA E TECNOLOGIA;3748382;34265904,25;0;34265904,25;914,15
7101;GABINETE DO VICE GOVERNADOR;10241;13304547,43;0;13304547,43;129914,53
99000;TESOURO DO ESTADO DE MATO GROSSO;13834936279;21957223232;9871472332;12085750900;158,71
3601;FUNDO DE APOIO AO JUDICIARIO;156703665;211764619,4;0;211764619,4;135,14
7401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;41558564;46603336,55;0;46603336,55;112,14
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;1795851;2116159,5;0;2116159,5;117,84
14101;SECRETARIA DE ESTADO DE EDUCACAO;30940350;211380932,8;0;211380932,8;683,19
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;36628622;47523690,28;0;47523690,28;129,74
18201;FUNDACAO NOVA CHANCE;8102;729392,95;0;729392,95;9002,63
16301;LOTERIA DO ESTADO MATO GROSSO;394269;315864,42;0;315864,42;80,11
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;8013079;7543394,02;0;7543394,02;94,14
15101;SECRETARIA DE ESTADO DE ESPORTE E LAZER;0;3325738,58;0;3325738,58;0
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERV DO PODER LEGISLATIVO;13056704;15209381,5;0;15209381,5;116,49
4103;SECRETARIA EXTRAORDINARIA DA COPA DO MUNDO FIFA 2014;0;273719867,1;0;273719867,1;0
8101;PROCURADORIA GERAL DA JUSTICA;26238560;33698671,82;0;33698671,82;128,43
