Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;186939647;183789400,2;0;183789400,2;98,31
9601;FUNDO DE APERFEICOAMENTO DOS SERVICOS JURIDICOS;19753044;9349220,73;0;9349220,73;47,33
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;1374079;2038251,14;0;2038251,14;148,34
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;31125743;43372761,95;20359042,72;23013719,23;139,35
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;26807377;33915589,02;458163,91;33457425,11;126,52
4101;CASA CIVIL;0;113868191,5;96815142,55;17053048,91;0
21101;SECRETARIA DE ESTADO DE SAUDE;0;8903,84;0;8903,84;0
21601;FUNDO ESTADUAL DE SAUDE;15136930;77255660,91;694865,83;76560795,08;510,38
16601;FUNDO DE GESTAO FAZENDARIA;0;0;0;0;0
26101;SECRETARIA DE ESTADO DE CIENCIA E TECNOLOGIA;0;2804211,78;0;2804211,78;0
7101;GABINETE DO VICE GOVERNADOR;14100;334,64;0;334,64;2,37
99000;TESOURO DO ESTADO DE MATO GROSSO;10860171764;13092026955;2315351035;10776675920;120,55
3601;FUNDO DE APOIO AO JUDICIARIO;133807543;150242172,7;0;150242172,7;112,28
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;478000;1441710,07;0;1441710,07;301,61
18201;FUNDACAO NOVA CHANCE;493488;331239,8;0;331239,8;67,12
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;49680223;29439946,13;0;29439946,13;59,26
14101;SECRETARIA DE ESTADO DE EDUCACAO;153048499;85745846,96;0;85745846,96;56,03
7401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;27686980;31940826,31;0;31940826,31;115,36
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;8223392;7154731,27;1202817,99;5951913,28;87
4103;SECRETARIA EXTRAORDINARIA DA COPA DO MUNDO FIFA 2014;162905866;292333456,6;102867607,5;189465849,1;179,45
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERV DO PODER LEGISLATIVO;14470084;11956423,67;0;11956423,67;82,63
8101;PROCURADORIA GERAL DA JUSTICA;23514462;20334499,99;0;20334499,99;86,48
22606;FUNDO PARTILHADO DE INVESTIMENTOS SOCIAIS;10814072;0;0;0;0
12501;EMPRESA MATOGROSSENSE DE PESQUISA, ASSISTENCIA TECNICA E EXTENSAO RURAL;12896922;0;0;0;0
24101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO SEDTUR;535198;2102083,75;130222,89;1971860,86;392,77
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;78751551;59800998,75;0;59800998,75;75,94
5101;CASA MILITAR;0;905,98;0;905,98;0
13101;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;0;453,52;0;453,52;0
15101;SECRETARIA DE ESTADO DE ESPORTE E LAZER;0;187,66;0;187,66;0
28101;SECRETARIA DE ESTADO DAS CIDADES;157355026;87605183,19;32356702,96;55248480,23;55,67
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;6168548;6205084,08;0;6205084,08;100,59
12101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO RURAL E AGRICULTURA FAMILIAR;701960;7844989,2;544272,62;7300716,58;1117,58
26201;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;5251900;9060781,83;95,37;9060686,46;172,52
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;2454235;3848847,71;0;3848847,71;156,82
25301;DEPARTAMENTO ESTADUAL DE TRANSITO;158567195;157444643,6;45495,81;157399147,8;99,29
7301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DE MT;4207806;3522844,92;266382,05;3256462,87;83,72
28501;COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO-SANEMAT;605709;0;0;0;0
20101;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL;0;675,6;0;675,6;0
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;80817642;233233200,2;0;233233200,2;288,59
30102;RECURSOS SOB A SUPERVISAO DA SEFAZ;3587132;3741376,84;0;3741376,84;104,3
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENSAO RURAL;0;4077517,66;631817,63;3445700,03;0
17502;COMPANHIA MATOGROSSENSE DE GAS;8500000;9302663,06;33050,65;9269612,41;109,44
11101;SECRETARIA DE ESTADO DE ADMINISTRACAO;52386902;50397374,66;0;50397374,66;96,2
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;0;131310,51;0;131310,51;0
16101;SECRETARIA DE ESTADO DE FAZENDA;263504622;203197088,6;257,22;203196831,4;77,11
15601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;8872696;14028970,23;5899736,09;8129234,14;158,11
17501;COMPANHIA MATOGROSSENSE DE MINERACAO;310934;224934,72;74622,8;150311,92;72,34
17101;SECRETARIA DE ESTADO DA INDUSTRIA, COMERCIO, MINAS E ENERGIA;4642953;5726528,47;0;5726528,47;123,34
22605;FUNDO ESTADUAL DE AMPARO AO TRABALHADOR;346153;123740,68;31904,83;91835,85;35,75
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;742659;29750,29;0;29750,29;4,01
6101;AUDITORIA GERAL DO ESTADO;0;114,94;0;114,94;0
9101;PROCURADORIA GERAL DO ESTADO;0;5484008,22;0;5484008,22;0
11602;FUNDO DE PREVIDENCIA DO ESTADO DE MATO GROSSO;1014155310;1211621828;0;1211621828;119,47
23101;SECRETARIA DE ESTADO DE CULTURA;17045426;16482372,87;6038213,13;10444159,74;96,7
25101;SECRETARIA DE ESTADO DE TRANSPORTE E PAVIMENTACAO URBANA-SETPU;431099642;396981911,6;187093950,7;209887960,9;92,09
30101;RECURSOS SOB A SUPERVISAO DA SAD;0;33505347,6;0;33505347,6;0
12302;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;20156198;32516625,07;0;32516625,07;161,32
12301;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;18670660;8201233,73;3558425,16;4642808,57;43,93
26202;FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;10400000;2443676,4;0;2443676,4;23,5
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;82905;1398393,08;0;1398393,08;1686,74
18601;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;883337;1316918,71;422093,67;894825,04;149,08
17302;INSTITUTO DE PESOS E MEDIDAS DE MATO GROSSO;16020629;18561721,31;0;18561721,31;115,86
11601;FUNDO DE DESENVOLVIMENTO DO SISTEMA DE PESSOAL DO ESTADO DE MATO GROSSO;20671134;17767283,62;0;17767283,62;85,95
22101;SECRETARIA DE ESTADO DE TRABALHO E ASSISTENCIA SOCIAL;3152080;5490024,97;1003,6;5489021,37;174,17
