Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;237882918;268627024,5;12299,18;268614725,3;112,92
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;5790542;6328297,64;0;6328297,64;109,29
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;0;648126,67;0;648126,67;0
20401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMACAO- MTI;0;0;0;0;0
11401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMACAO;31793367;28803623,29;0;28803623,29;90,6
4101;CASA CIVIL;20231000;6537079,85;0;6537079,85;32,31
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;26782;47023,81;0;47023,81;175,58
20501;MT PARCERIAS S/A MT PAR;0;0;0;0;0
4105;GABINETE DE GOVERNO;0;0;0;0;0
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;0;2951,19;0;2951,19;0
21601;FUNDO ESTADUAL DE SAUDE;3041446;43701249,23;0;43701249,23;1436,86
30101;RECURSOS SOB A SUPERVISAO DA SEPLAG;85665943;116239586,5;0;116239586,5;135,69
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;24880103;18169638,98;0;18169638,98;73,03
11305;MATO GROSSO PREVIDENCIA;2440508000;2172336825;0;2172336825;89,01
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;43891750;68681611,86;0;68681611,86;156,48
27101;SECRETARIA DE ESTADO DE MEIO AMBIENTE;64561172;85533923,11;314541,12;85219381,99;132,49
6101;CONTROLADORIA GERAL DO ESTADO;4953635;7891901,48;0;7891901,48;159,32
12502;CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO;0;51,28;0;51,28;0
