Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;191042635,9;209296535,5;13193,48;209283342;109,55
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;4430042,65;4893329,05;0;4893329,05;110,46
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;1318224,05;24867,77;0;24867,77;1,89
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;53079118,33;72869681,93;221669,29;72648012,64;137,29
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;0;13692998,93;0;13692998,93;0
20401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMACAO- MTI;47527407,31;24057917,68;0;24057917,68;50,62
20501;MT PARCERIAS S/A MT PAR;0;12904411,36;0;12904411,36;0
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;0;0;0;0;0
4101;CASA CIVIL;0;644,41;0;644,41;0
4105;GABINETE DE GOVERNO;0;538,22;0;538,22;0
21601;FUNDO ESTADUAL DE SAUDE;3535922,85;12059081,68;0;12059081,68;341,04
11305;MATO GROSSO PREVIDENCIA;3009149644;2078266819;0;2078266819;69,06
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;24880103,71;19327918,12;0;19327918,12;77,68
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;219943927,9;164128673,3;0;164128673,3;74,62
12502;CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO;0;68,19;0;68,19;0
4106;GABINETE DE ASSUNTOS ESTRATEGICOS;0;0;0;0;0
6101;CONTROLADORIA GERAL DO ESTADO;6000000;8291746,84;0;8291746,84;138,2
99000;TESOURO DO ESTADO DE MATO GROSSO;24064792884;23080062064;8240413632;14839648432;95,91
3601;FUNDO DE APOIO AO JUDICIARIO;295409855,8;298792111,5;0;298792111,5;101,14
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;205156097,6;237767403,2;154755,54;237612647,6;115,9
18101;SECRETARIA DE ESTADO DE JUSTICA E DIREITOS HUMANOS;23522409,7;27145254,44;1780;27143474,44;115,4
12101;SECRETARIA DE ESTADO DE AGRICULTURA FAMILIAR E ASSUNTOS FUNDIARIOS;322388,13;1927476,45;0;1927476,45;597,87
18201;FUNDACAO NOVA CHANCE;164168,96;3480,13;0;3480,13;2,12
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;1626491,71;360;0;360;0,02
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;8286866,98;19464248,64;827;19463421,64;234,88
